epoch,train_loss,train_recon,train_align,val_loss,val_recon,val_align
1,0.09308290406052899,0.02217570640163089,0.00585570580731877,0.08088484884386785,0.015169744137797113,0.002713248438483692
2,0.08034730938178386,0.014870346057989682,0.003013852327732193,0.07971029483566158,0.014338749589545554,0.0032012631402865642
3,0.07929054736556738,0.014312869785684088,0.002871199215885335,0.07886019464288103,0.013876317087315806,0.002867508111337788
4,0.0770931686678519,0.012632876746710887,0.0027201044038578765,0.07612409374039424,0.011849177765390394,0.0027171089681551643
5,0.07596760745062481,0.011745673288416391,0.002658146683145771,0.07548718245111798,0.011283799580077788,0.0026321272567943915
6,0.07556279641267714,0.0112990700250285,0.002672145422667325,0.07532229745074322,0.0111807030809455,0.0025917258286713867
7,0.07535705698243088,0.01113445245471033,0.0026841788779994615,0.0749572110362351,0.010819633724167943,0.0025972754382038196
8,0.07519128561794125,0.011010125245008873,0.0026916403270933467,0.07488241411843582,0.010727926589377029,0.0027026950755450678
9,0.07510646500792034,0.010941680672756054,0.0026993610671432766,0.07516961998159163,0.01108529288199191,0.002677491096332424
10,0.07500584362203544,0.010873989534673022,0.002707765350255269,0.07504666966729258,0.010822548469724623,0.0027430064962429336
11,0.07493990038423105,0.010836025752110814,0.0027127100748207287,0.0749293388553748,0.010868475879665072,0.002683371123183813
12,0.0748759240915258,0.010795321277701567,0.002707669733619018,0.07479889695777704,0.010815320257710195,0.00265363440925476
13,0.07482037465628188,0.010762979356899852,0.0027079425862572195,0.07479275846363682,0.010732230396426626,0.0027050567418643225
14,0.07479491791978582,0.010752562324094262,0.002708713909112901,0.07454728340043833,0.010506878992983778,0.0027084840487652017
15,0.07474349103281884,0.01071956398035749,0.002712380876485224,0.0747207390928739,0.010664469060046892,0.002744890972328568
16,0.07473451506784012,0.010723132560042575,0.002708732654748466,0.07447690090262576,0.010439963472124777,0.0027161372180623737
17,0.07467867359328174,0.010678724193604076,0.0027062906665564607,0.07468295452724162,0.010754712606093994,0.002687892975365302
18,0.07465749848708973,0.010668091770729062,0.002712403677105413,0.07439827281785638,0.01035068647654139,0.0027264209539249636
19,0.07464742678515081,0.01066896394563057,0.0027074427592666582,0.07477846050536946,0.01083888353988234,0.002672275527545839
20,0.07461311054227555,0.010650879814041772,0.0027088749935006073,0.07445059454460677,0.01055840647926456,0.0026922659162664786
21,0.07459167229673429,0.010628382382969629,0.002710129281228556,0.07535156884573792,0.011406779730398404,0.002728874283524132
22,0.07457153734120964,0.010618786410007052,0.0027094933022382035,0.0743737273702496,0.010407295310869813,0.0027345432884574527
23,0.07454454710456944,0.010606670592687656,0.002711355872673759,0.0747894256522781,0.010904520642821137,0.002695186380725844
24,0.07451844131972735,0.010589032419273978,0.002711221568410459,0.0743473656475544,0.01036547765589172,0.002763112291607908
25,0.07452560981965266,0.010599733173896269,0.0027099052299954956,0.07477717184902806,0.010784310019133906,0.0028020333143343266
26,0.07450175694535165,0.010583237327084605,0.0027104159876734204,0.07482179019011949,0.010872337875250531,0.0027116403951750775
27,0.07449544685699544,0.010577269607968834,0.002704161022589745,0.07459605767048504,0.010715757735612752,0.0027216836966353617
28,0.07446268966651164,0.010555009723958234,0.002711708901263978,0.07423771045317776,0.010354318600883218,0.002704230910718539
29,0.07446016816158588,0.010562464504537131,0.002713195822330139,0.07432802577846144,0.010437074414527925,0.002667176256899869
30,0.0744463282269608,0.010549338448430118,0.0027111386871759356,0.07455955563407195,0.010669403703344104,0.0027102012383310417
