epoch,metrics/learning_rate,metrics/loss,metrics/main_loss,metrics/regul,metrics/step_per_sec,val_metrics/learning_rate,val_metrics/loss,val_metrics/main_loss,val_metrics/regul,val_metrics/step_per_sec
0,0.03002105839550495,0.03981993347406387,3.1730320188216865e-05,0.06636305153369904,967.1678466796875,0.0,0.0,0.0,0.0,0.0
1,0.03002105839550495,0.03980056568980217,1.2000231436104514e-05,0.06636680662631989,406.578125,0.0,0.0,0.0,0.0,0.0
2,0.013256927952170372,0.039794921875,5.625333415082423e-06,0.06634946912527084,260.06201171875,0.0,0.0,0.0,0.0,0.0
0,0.03002105839550495,0.03981185331940651,2.755017703748308e-05,0.06635843217372894,737.3013916015625,0.0,0.0,0.0,0.0,0.0
1,0.03002105839550495,0.0397954136133194,1.2404066183080431e-05,0.06634677201509476,367.1841125488281,0.0,0.0,0.0,0.0,0.0
2,0.013256927952170372,0.039794351905584335,4.880369488091674e-06,0.06634785979986191,321.6141357421875,0.0,0.0,0.0,0.0,0.0
0,0.03002105839550495,0.03981316089630127,3.351342456880957e-05,0.06635534018278122,934.3362426757812,0.0,0.0,0.0,0.0,0.0
0,0.03002105839550495,0.03981448709964752,2.5304720111307688e-05,0.06636340916156769,843.1051635742188,0.0,0.0,0.0,0.0,0.0
1,0.03002105839550495,0.03979870304465294,1.2509621228673495e-05,0.06636323034763336,241.0980682373047,0.0,0.0,0.0,0.0,0.0
2,0.013256927952170372,0.03979499265551567,5.1556398830143735e-06,0.06634929031133652,273.5693054199219,0.0,0.0,0.0,0.0,0.0
3,0.0030011220369488,0.0397900715470314,1.981571585929487e-06,0.06634657829999924,320.5175476074219,0.0,0.0,0.0,0.0,0.0
4,0.0023529287427663803,0.039790328592061996,1.6498014474564116e-06,0.0663466602563858,284.3939514160156,0.0,0.0,0.0,0.0,0.0
5,0.00030006811721250415,0.039790090173482895,9.735558705870062e-07,0.06634663045406342,282.85406494140625,0.0,0.0,0.0,0.0,0.0
6,0.00030006811721250415,0.03978998214006424,9.669031442172127e-07,0.06634652614593506,288.7002258300781,0.0,0.0,0.0,0.0,0.0
7,0.00030006811721250415,0.03978998214006424,9.726763892103918e-07,0.06634648144245148,303.62408447265625,0.0,0.0,0.0,0.0,0.0
8,0.00030006811721250415,0.03978999704122543,9.664299795986153e-07,0.06634657829999924,267.19287109375,0.0,0.0,0.0,0.0,0.0
9,0.00030006811721250415,0.039789989590644836,9.814023087528767e-07,0.06634658575057983,282.07110595703125,0.0,0.0,0.0,0.0,0.0
10,0.00030006811721250415,0.0397900715470314,9.541735153106856e-07,0.06634663045406342,299.3504333496094,0.0,0.0,0.0,0.0,0.0
11,0.00030006811721250415,0.039789989590644836,9.607089168639504e-07,0.06634651869535446,315.4068908691406,0.0,0.0,0.0,0.0,0.0
12,0.00030006811721250415,0.039789989590644836,1.004940486382111e-06,0.06634648889303207,300.4323425292969,0.0,0.0,0.0,0.0,0.0
13,0.00030006811721250415,0.039789989590644836,9.530841680316371e-07,0.06634657829999924,290.056884765625,0.0,0.0,0.0,0.0,0.0
14,0.00030006811721250415,0.03978999704122543,9.659964916863828e-07,0.06634647399187088,310.0448913574219,0.0,0.0,0.0,0.0,0.0
0,0.03002105839550495,0.03980543836951256,2.8037164156557992e-05,0.06635202467441559,1011.2788696289062,0.0,0.0,0.0,0.0,0.0
